source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0097190,apoptotic signaling pathway,2.1361033535601174e-06,True,"""The series of molecular signals which triggers the apoptotic death of a cell. The pathway starts with reception of a signal, and ends when the execution phase of apoptosis is triggered."" [GOC:mtg_apoptosis]",607,10,7,21031,0.7,0.011532125205930808,query_1,"['GO:0006915', 'GO:0007165']"
GO:BP,GO:0033554,cellular response to stress,2.2887294819076817e-06,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",1770,10,9,21031,0.9,0.005084745762711864,query_1,"['GO:0006950', 'GO:0051716']"
REAC,REAC:R-HSA-1640170,Cell Cycle,2.454824089306677e-06,True,Cell Cycle,677,10,8,10842,0.8,0.011816838995568686,query_1,['REAC:0000000']
KEGG,KEGG:05215,Prostate cancer,2.6024459163887123e-06,True,Prostate cancer,97,10,5,8484,0.5,0.05154639175257732,query_1,['KEGG:00000']
REAC,REAC:R-HSA-6804757,Regulation of TP53 Degradation,5.8226696116846095e-06,True,Regulation of TP53 Degradation,36,10,4,10842,0.4,0.1111111111111111,query_1,['REAC:R-HSA-6806003']
REAC,REAC:R-HSA-6806003,Regulation of TP53 Expression and Degradation,6.525550977119387e-06,True,Regulation of TP53 Expression and Degradation,37,10,4,10842,0.4,0.10810810810810811,query_1,['REAC:R-HSA-5633007']
REAC,REAC:R-HSA-212436,Generic Transcription Pathway,7.706908664056081e-06,True,Generic Transcription Pathway,1234,10,9,10842,0.9,0.007293354943273906,query_1,['REAC:R-HSA-73857']
WP,WP:WP179,Cell cycle,7.833714240779035e-06,True,Cell cycle,120,9,5,8286,0.5555555555555556,0.041666666666666664,query_1,['WP:000000']
GO:BP,GO:0009266,response to temperature stimulus,9.170149298845803e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a temperature stimulus."" [GOC:hb]",169,10,5,21031,0.5,0.029585798816568046,query_1,['GO:0009628']
GO:BP,GO:0072331,signal transduction by p53 class mediator,1.2942860286279936e-05,True,"""An intracellular signaling process that is induced by the cell cycle regulator phosphoprotein p53 or an equivalent protein."" [GOC:mah]",181,10,5,21031,0.5,0.027624309392265192,query_1,['GO:0035556']
GO:BP,GO:0071478,cellular response to radiation,1.3305824129434322e-05,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:mah]",182,10,5,21031,0.5,0.027472527472527472,query_1,"['GO:0009314', 'GO:0071214']"
REAC,REAC:R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,1.3371211073960847e-05,True,TP53 Regulates Transcription of Cell Death Genes,44,10,4,10842,0.4,0.09090909090909091,query_1,['REAC:R-HSA-3700989']
REAC,REAC:R-HSA-73857,RNA Polymerase II Transcription,1.7731519943971592e-05,True,RNA Polymerase II Transcription,1355,10,9,10842,0.9,0.006642066420664207,query_1,['REAC:R-HSA-74160']
GO:BP,GO:0046824,positive regulation of nucleocytoplasmic transport,1.8029451575350114e-05,True,"""Any process that activates or increases the frequency, rate or extent of the directed movement of substances between the nucleus and the cytoplasm."" [GOC:bf]",63,10,4,21031,0.4,0.06349206349206349,query_1,"['GO:0006913', 'GO:0032388', 'GO:0046822']"
HP,HP:0004375,Neoplasm of the nervous system,2.4229184861619927e-05,True,A tumor (abnormal growth of tissue) of the nervous system.,195,7,6,4958,0.8571428571428571,0.03076923076923077,query_1,"['HP:0011793', 'HP:0012639']"
WP,WP:WP45,G1 to S cell cycle control,4.402371502705354e-05,True,G1 to S cell cycle control,64,9,4,8286,0.4444444444444444,0.0625,query_1,['WP:000000']
WP,WP:WP3651,Pathways affected in adenoid cystic carcinoma,4.688774965453242e-05,True,Pathways affected in adenoid cystic carcinoma,65,9,4,8286,0.4444444444444444,0.06153846153846154,query_1,['WP:000000']
GO:BP,GO:1900034,regulation of cellular response to heat,5.144148364020114e-05,True,"""Any process that modulates the frequency, rate or extent of cellular response to heat."" [GOC:TermGenie, GOC:yaf]",16,10,3,21031,0.3,0.1875,query_1,"['GO:0034605', 'GO:0080135']"
GO:MF,GO:0097718,disordered domain specific binding,5.476148200492457e-05,True,"""Binding to a disordered domain of a protein."" [GOC:gg, PMID:11746698]",29,10,3,20212,0.3,0.10344827586206896,query_1,['GO:0019904']
REAC,REAC:R-HSA-3371568,Attenuation phase,5.6209472907599274e-05,True,Attenuation phase,14,10,3,10842,0.3,0.21428571428571427,query_1,['REAC:R-HSA-3371571']
WP,WP:WP707,DNA damage response,5.9754017407553776e-05,True,DNA damage response,69,9,4,8286,0.4444444444444444,0.057971014492753624,query_1,['WP:000000']
GO:MF,GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,6.057137204838442e-05,True,"""Binding to a sequence-specific DNA binding RNA polymerase II transcription factor, any of the factors that interact selectively and non-covalently with a specific DNA sequence in order to modulate transcription."" [GOC:dph, GOC:vw]",349,10,5,20212,0.5,0.014326647564469915,query_1,['GO:0140297']
GO:BP,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,6.097803880892238e-05,True,"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, and ends when the execution phase of apoptosis is triggered."" [GOC:mah, GOC:mtg_apoptosis]",85,10,4,21031,0.4,0.047058823529411764,query_1,"['GO:0072331', 'GO:0097193']"
KEGG,KEGG:04115,p53 signaling pathway,6.604264652062751e-05,True,p53 signaling pathway,74,10,4,8484,0.4,0.05405405405405406,query_1,['KEGG:00000']
WP,WP:WP1530,miRNA regulation of DNA damage response,7.508589960802176e-05,True,miRNA regulation of DNA damage response,73,9,4,8286,0.4444444444444444,0.0547945205479452,query_1,['WP:000000']
GO:BP,GO:0034644,cellular response to UV,7.68636033211578e-05,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:mah]",90,10,4,21031,0.4,0.044444444444444446,query_1,"['GO:0009411', 'GO:0071482']"
HP,HP:0010785,Gonadal neoplasm,9.450309164225784e-05,True,A tumor (abnormal growth of tissue) of a gonad.,108,7,5,4958,0.7142857142857143,0.046296296296296294,query_1,['HP:0010787']
WP,WP:WP1742,TP53 network,9.459244068109535e-05,True,TP53 network,19,9,3,8286,0.3333333333333333,0.15789473684210525,query_1,['WP:000000']
GO:BP,GO:0090316,positive regulation of intracellular protein transport,9.979193526959442e-05,True,"""Any process that activates or increases the frequency, rate or extent of the directed movement of proteins within cells."" [GOC:tb]",96,10,4,21031,0.4,0.041666666666666664,query_1,"['GO:0006886', 'GO:0032388', 'GO:0033157', 'GO:0051222']"
WP,WP:WP3657,Hematopoietic stem cell gene regulation by GABP alpha beta complex,0.00011122470678520174,True,Hematopoietic stem cell gene regulation by GABP alpha beta complex,20,9,3,8286,0.3333333333333333,0.15,query_1,['WP:000000']
WP,WP:WP4016,DNA IR damage and cellular response via ATR,0.000114328650594864,True,DNA IR damage and cellular response via ATR,81,9,4,8286,0.4444444444444444,0.04938271604938271,query_1,['WP:000000']
WP,WP:WP2261,Glioblastoma signaling pathways,0.00012013324756888402,True,Glioblastoma signaling pathways,82,9,4,8286,0.4444444444444444,0.04878048780487805,query_1,['WP:000000']
GO:BP,GO:0006977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",0.00012202103735051732,True,"""A cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, in response to the detection of DNA damage and resulting in the stopping or reduction in rate of the cell cycle."" [GOC:go_curators]",21,10,3,21031,0.3,0.14285714285714285,query_1,"['GO:0030330', 'GO:0031571']"
REAC,REAC:R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,0.00012576396603984093,True,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,18,10,3,10842,0.3,0.16666666666666666,query_1,['REAC:R-HSA-6791312']
WP,WP:WP138,Androgen receptor signaling pathway,0.00013886857950591607,True,Androgen receptor signaling pathway,85,9,4,8286,0.4444444444444444,0.047058823529411764,query_1,['WP:000000']
GO:BP,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,0.00014888849345790725,True,"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the detection of DNA damage, and ends when the execution phase of apoptosis is triggered."" [GOC:go_curators, GOC:mtg_apoptosis]",106,10,4,21031,0.4,0.03773584905660377,query_1,"['GO:0006974', 'GO:0097193']"
GO:BP,GO:0009628,response to abiotic stimulus,0.00015530173280711663,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1128,10,7,21031,0.7,0.0062056737588652485,query_1,['GO:0050896']
GO:BP,GO:1901796,regulation of signal transduction by p53 class mediator,0.00016662375826381892,True,"""Any process that modulates the frequency, rate or extent of signal transduction by p53 class mediator."" [GOC:TermGenie]",109,10,4,21031,0.4,0.03669724770642202,query_1,"['GO:0072331', 'GO:1902531']"
GO:BP,GO:0001666,response to hypoxia,0.00016984505134006237,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."" [GOC:hjd]",303,10,5,21031,0.5,0.0165016501650165,query_1,"['GO:0006950', 'GO:0036293']"
REAC,REAC:R-HSA-1643685,Disease,0.00018709129222508591,True,Disease,1767,10,9,10842,0.9,0.0050933786078098476,query_1,['REAC:0000000']
GO:BP,GO:0034504,protein localization to nucleus,0.00020601552709105758,True,"""A process in which a protein transports or maintains the localization of another protein to the nucleus."" [GOC:ecd]",315,10,5,21031,0.5,0.015873015873015872,query_1,['GO:0033365']
GO:BP,GO:0036293,response to decreased oxygen levels,0.00020928573661251702,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]",316,10,5,21031,0.5,0.015822784810126583,query_1,['GO:0070482']
GO:BP,GO:0006915,apoptotic process,0.0002094528686765386,True,"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",1913,10,8,21031,0.8,0.004181913225300575,query_1,['GO:0012501']
GO:BP,GO:0046822,regulation of nucleocytoplasmic transport,0.00021411142145957122,True,"""Any process that modulates the frequency, rate or extent of the directed movement of substances between the nucleus and the cytoplasm."" [GOC:bf]",116,10,4,21031,0.4,0.034482758620689655,query_1,"['GO:0006913', 'GO:0032386']"
GO:BP,GO:0031647,regulation of protein stability,0.0002369602986744533,True,"""Any process that affects the structure and integrity of a protein, altering the likelihood of its degradation or aggregation."" [GOC:dph, GOC:mah, GOC:tb]",324,10,5,21031,0.5,0.015432098765432098,query_1,['GO:0065008']
GO:BP,GO:0071480,cellular response to gamma radiation,0.00023823961299980172,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gamma radiation stimulus. Gamma radiation is a form of electromagnetic radiation (EMR) or light emission of a specific frequency produced from sub-atomic particle interaction, such as electron-positron annihilation and radioactive decay. Gamma rays are generally characterized as EMR having the highest frequency and energy, and also the shortest wavelength, within the electromagnetic radiation spectrum."" [GOC:mah]",26,10,3,21031,0.3,0.11538461538461539,query_1,"['GO:0010332', 'GO:0071479']"
HPA,HPA:0301362,lung; alveolar cells type I[≥Medium],0.0002499233431702729,True,lung; alveolar cells type I[≥Medium],887,10,7,11019,0.7,0.007891770011273957,query_1,['HPA:0301361']
REAC,REAC:R-HSA-2262752,Cellular responses to stress,0.00026435984186446094,True,Cellular responses to stress,780,10,7,10842,0.7,0.008974358974358974,query_1,['REAC:R-HSA-8953897']
REAC,REAC:R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,0.00026940730283014257,True,Regulation of TP53 Activity through Phosphorylation,92,10,4,10842,0.4,0.043478260869565216,query_1,['REAC:R-HSA-5633007']
GO:BP,GO:0051169,nuclear transport,0.0002755607212591416,True,"""The directed movement of substances into, out of, or within the nucleus."" [GOC:ai]",334,10,5,21031,0.5,0.014970059880239521,query_1,['GO:0046907']
GO:BP,GO:0006913,nucleocytoplasmic transport,0.0002755607212591416,True,"""The directed movement of molecules between the nucleus and the cytoplasm."" [GOC:go_curators]",334,10,5,21031,0.5,0.014970059880239521,query_1,['GO:0051169']
GO:BP,GO:0012501,programmed cell death,0.0002786703622518399,True,"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]",1984,10,8,21031,0.8,0.004032258064516129,query_1,['GO:0008219']
GO:BP,GO:0071214,cellular response to abiotic stimulus,0.00027967980310010076,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (non-living) stimulus."" [GOC:mah]",335,10,5,21031,0.5,0.014925373134328358,query_1,"['GO:0009628', 'GO:0104004']"
GO:BP,GO:0104004,cellular response to environmental stimulus,0.00027967980310010076,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an environmental stimulus."" [GOC:dos]",335,10,5,21031,0.5,0.014925373134328358,query_1,['GO:0051716']
GO:BP,GO:0071482,cellular response to light stimulus,0.0002800120588012127,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."" [GOC:mah]",124,10,4,21031,0.4,0.03225806451612903,query_1,"['GO:0009416', 'GO:0071478']"
GO:BP,GO:0008219,cell death,0.00028310056133071606,True,"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]",1988,10,8,21031,0.8,0.004024144869215292,query_1,['GO:0009987']
REAC,REAC:R-HSA-8878159,Transcriptional regulation by RUNX3,0.0002937655633161038,True,Transcriptional regulation by RUNX3,94,10,4,10842,0.4,0.0425531914893617,query_1,['REAC:R-HSA-212436']
REAC,REAC:R-HSA-69473,G2/M DNA damage checkpoint,0.0002937655633161038,True,G2/M DNA damage checkpoint,94,10,4,10842,0.4,0.0425531914893617,query_1,['REAC:R-HSA-69481']
REAC,REAC:R-HSA-8953897,Cellular responses to stimuli,0.00029848017940985503,True,Cellular responses to stimuli,794,10,7,10842,0.7,0.008816120906801008,query_1,['REAC:0000000']
HP,HP:0004377,Hematological neoplasm,0.00029891004787109624,True,Neoplasms located in the blood and blood-forming tissue (the bone marrow and lymphatic tissue).,296,7,6,4958,0.8571428571428571,0.02027027027027027,query_1,"['HP:0001871', 'HP:0011793']"
GO:CC,GO:0005654,nucleoplasm,0.0003068554816604743,True,"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]",4220,10,9,22097,0.9,0.0021327014218009478,query_1,"['GO:0031981', 'GO:0110165']"
REAC,REAC:R-HSA-3371571,HSF1-dependent transactivation,0.00031103783300154454,True,HSF1-dependent transactivation,24,10,3,10842,0.3,0.125,query_1,['REAC:R-HSA-3371556']
GO:MF,GO:0140297,DNA-binding transcription factor binding,0.0003235241830504045,True,"""Binding to a DNA-binding transcription factor, a protein that interacts with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription."" [GOC:txnOH-2018]",490,10,5,20212,0.5,0.01020408163265306,query_1,['GO:0008134']
GO:BP,GO:0070482,response to oxygen levels,0.00032362401836281794,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:BHF, GOC:mah]",345,10,5,21031,0.5,0.014492753623188406,query_1,['GO:0009628']
HP,HP:0007378,Neoplasm of the gastrointestinal tract,0.00041775211214069795,True,A tumor (abnormal growth of tissue) of the gastrointestinal tract.,313,7,6,4958,0.8571428571428571,0.019169329073482427,query_1,"['HP:0011024', 'HP:0034930']"
HP,HP:0034930,Digestive system neoplasm,0.00041775211214069795,True,A tumor (abnormal growth of tissue) of the digestive system.,313,7,6,4958,0.8571428571428571,0.019169329073482427,query_1,['HP:0025031']
WP,WP:WP3981,miRNA regulation of prostate cancer signaling pathways,0.00043593985762179995,True,miRNA regulation of prostate cancer signaling pathways,31,9,3,8286,0.3333333333333333,0.0967741935483871,query_1,['WP:000000']
WP,WP:WP3982,miRNA regulation of p53 pathway in prostate cancer,0.00043593985762179995,True,miRNA regulation of p53 pathway in prostate cancer,31,9,3,8286,0.3333333333333333,0.0967741935483871,query_1,['WP:000000']
GO:BP,GO:0032388,positive regulation of intracellular transport,0.0004429606347573585,True,"""Any process that activates or increases the frequency, rate or extent of the directed movement of substances within cells."" [GOC:mah]",139,10,4,21031,0.4,0.02877697841726619,query_1,"['GO:0032386', 'GO:0046907', 'GO:0048522', 'GO:0051050']"
KEGG,KEGG:04919,Thyroid hormone signaling pathway,0.0004747193719937467,True,Thyroid hormone signaling pathway,121,10,4,8484,0.4,0.03305785123966942,query_1,['KEGG:00000']
GO:BP,GO:0031571,mitotic G1 DNA damage checkpoint signaling,0.0004990631097889054,True,"""A signal transduction process that contributes to a mitotic cell cycle G1/S transition DNA damage checkpoint."" [GOC:mtg_cell_cycle]",33,10,3,21031,0.3,0.09090909090909091,query_1,"['GO:0044773', 'GO:0044819']"
GO:BP,GO:0044819,mitotic G1/S transition checkpoint signaling,0.0004990631097889054,True,"""A cell cycle checkpoint that detects and negatively regulates progression from G1 to S phase as part of a mitotic cell cycle."" [GOC:mtg_cell_cycle]",33,10,3,21031,0.3,0.09090909090909091,query_1,"['GO:0007093', 'GO:2000134']"
GO:BP,GO:0009411,response to UV,0.0006173523448730241,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:hb]",151,10,4,21031,0.4,0.026490066225165563,query_1,['GO:0009416']
HP,HP:0010787,Genital neoplasm,0.0006213900820873698,True,A tumor (abnormal growth of tissue) of the genital system.,157,7,5,4958,0.7142857142857143,0.03184713375796178,query_1,"['HP:0000078', 'HP:0007379']"
REAC,REAC:R-HSA-114452,Activation of BH3-only proteins,0.000622106977874815,True,Activation of BH3-only proteins,30,10,3,10842,0.3,0.1,query_1,['REAC:R-HSA-109606']
KEGG,KEGG:04068,FoxO signaling pathway,0.0006509900134023589,True,FoxO signaling pathway,131,10,4,8484,0.4,0.030534351145038167,query_1,['KEGG:00000']
GO:BP,GO:0033157,regulation of intracellular protein transport,0.0006679605546197425,True,"""Any process that modulates the frequency, rate or extent of the directed movement of proteins within cells."" [GOC:mah]",154,10,4,21031,0.4,0.025974025974025976,query_1,"['GO:0006886', 'GO:0032386', 'GO:0051223']"
CORUM,CORUM:7180,p53-MDM2 complex,0.0007647728327517858,True,p53-MDM2 complex,2,8,2,3383,0.25,1.0,query_1,['CORUM:0000000']
CORUM,CORUM:5331,YY1-MDM2-p53 complex,0.0007647728327517858,True,YY1-MDM2-p53 complex,2,8,2,3383,0.25,1.0,query_1,['CORUM:0000000']
REAC,REAC:R-HSA-69620,Cell Cycle Checkpoints,0.0008065710752706553,True,Cell Cycle Checkpoints,289,10,5,10842,0.5,0.01730103806228374,query_1,['REAC:R-HSA-1640170']
GO:BP,GO:0046677,response to antibiotic,0.000834696661583976,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an antibiotic stimulus. An antibiotic is a chemical substance produced by a microorganism which has the capacity to inhibit the growth of or to kill other microorganisms."" [GOC:ai, GOC:ef]",39,10,3,21031,0.3,0.07692307692307693,query_1,['GO:0042221']
KEGG,KEGG:05206,MicroRNAs in cancer,0.0008384370629835321,True,MicroRNAs in cancer,310,10,5,8484,0.5,0.016129032258064516,query_1,['KEGG:00000']
GO:MF,GO:0008134,transcription factor binding,0.0008735097268749666,True,"""Binding to a transcription factor, a protein required to initiate or regulate transcription."" [ISBN:0198506732]",600,10,5,20212,0.5,0.008333333333333333,query_1,['GO:0005515']
GO:BP,GO:0042981,regulation of apoptotic process,0.0009213432072830097,True,"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",1463,10,7,21031,0.7,0.004784688995215311,query_1,"['GO:0006915', 'GO:0043067']"
GO:MF,GO:0003684,damaged DNA binding,0.0009215077478662836,True,"""Binding to damaged DNA."" [GOC:jl]",73,10,3,20212,0.3,0.0410958904109589,query_1,['GO:0003677']
GO:BP,GO:0009314,response to radiation,0.0009405548392574446,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:jl, Wikipedia:Electromagnetic_radiation]",428,10,5,21031,0.5,0.011682242990654205,query_1,['GO:0009628']
WP,WP:WP2516,ATM signaling pathway,0.000953510879491098,True,ATM signaling pathway,40,9,3,8286,0.3333333333333333,0.075,query_1,['WP:000000']
MIRNA,MIRNA:hsa-miR-222-3p,hsa-miR-222-3p,0.0009570900923139107,True,hsa-miR-222-3p,392,10,5,14819,0.5,0.012755102040816327,query_1,['MIRNA:000000']
GO:BP,GO:0043516,"regulation of DNA damage response, signal transduction by p53 class mediator",0.0009731284048981124,True,"""Any process that modulates the frequency, rate or extent of the cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, in response to the detection of DNA damage."" [GOC:jl]",41,10,3,21031,0.3,0.07317073170731707,query_1,"['GO:0030330', 'GO:0080135', 'GO:1901796']"
HP,HP:0001909,Leukemia,0.0009811033988785392,True,A cancer of the blood and bone marrow characterized by an abnormal proliferation of leukocytes.,172,7,5,4958,0.7142857142857143,0.029069767441860465,query_1,"['HP:0001881', 'HP:0004377']"
HPA,HPA:0301361,lung; alveolar cells type I[≥Low],0.001014387896138453,True,lung; alveolar cells type I[≥Low],1091,10,7,11019,0.7,0.006416131989000917,query_1,['HPA:0300000']
GO:BP,GO:0043067,regulation of programmed cell death,0.0011224976926551198,True,"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",1506,10,7,21031,0.7,0.004648074369189907,query_1,"['GO:0012501', 'GO:0050794']"
HP,HP:0100006,Neoplasm of the central nervous system,0.0011321737733844255,True,A neoplasm of the central nervous system.,177,7,5,4958,0.7142857142857143,0.02824858757062147,query_1,"['HP:0002011', 'HP:0004375']"
